指标名称,中国:iCPI:总指数:日环比,中国:iCPI:食品烟酒:日环比,中国:iCPI:衣着:日环比,中国:iCPI:居住:日环比,中国:iCPI:生活用品及服务:日环比,中国:iCPI:交通和通信:日环比,中国:iCPI:教育文化和娱乐:日环比,中国:iCPI:医疗保健:日环比,中国:iCPI:其他用品和服务:日环比,中国:中间价:美元兑人民币,中间价:欧元兑人民币,USDCNH:即期汇率,美元兑日元,欧元兑美元,温州指数:温州地区民间融资综合利率,温州指数:温州地区民间融资综合利率:社会直接融资利率,中国:SHIBOR:隔夜,银行间同业拆借加权利率:7天,银行间质押式回购加权利率:7天,GC001:收盘价,1年期国债收益率,上证综合指数,中国:互联网搜索指数:找工作,中国:互联网搜索指数:招聘,中国香港:政府债券收益率:3月,LIBOR:美元:3个月,美国:5年期盈亏平衡通胀率:非季调,英镑兑美元,美元指数,日元指数,日本:国债收益率:6月,日本:企业债有效收益率:综合,欧元区:公债收益率:即期利率收益率曲线:所有债券:6个月,EURIBOR:6个月,韩国:国债收益率:3年,收盘价:美元兑韩元,韩国:KOSPI指数,印尼:日用商品现价:天然棕榈油:棉兰,印尼:日用商品现价:咖啡:棉兰,泰国:债券市场协会指数:总收益:政府债券指数,新加坡:国库券收益率:6个月,菲律宾:国债收益率:6个月,越南:国债收益率:1年,印度:国债收益率:3月,法国:国债收益率:1个月,德国:上市联邦证券利率期限结构:1年期,加拿大:基准债券收益率:5年,花旗美国经济意外指数,花旗欧洲经济意外指数,花旗中国经济意外指数,花旗十国集团经济意外指数,花旗新兴市场经济意外指数,地缘政治风险指数,地缘政治行为指数,地缘政治威胁指数,收盘价:焦炭,期货收盘价(活跃合约):焦煤,"河南:车板价:焦煤(A≤10%,V:25-27%,S≤0.5%,G>75,Mt:8%,平顶山产)","中国:现货价(到岸价):焦煤(峰景矿,A:10.5%,V:21.5%,S:0.61%,G:87,Y:19,Mt:10%,CSR74,澳大利亚产)",期货结算价(活跃合约):IPE布油,期货结算价(活跃合约):NYMEX轻质原油,出厂价:液化气(汽运):荆门石化,中国:出厂价:石油焦(2#B):武汉石化,中国:经销价:汽油(93#IV):成都中石化,山东:库提价:港口内贸燃料油(4#船用),运价:液化气(压力货):华南-海防港,黎城:价格(干基含税):铁精粉(66%),"中国:价格:螺纹钢(HRB400,20mm)","武汉:价格:热轧板卷(Q235B,3.0mm)",山东:价格:方坯(Q235),唐山:市场价(不含税):废钢(6-8mm),中国进口干散货运价指数:综合指数,波罗的海干散货指数(BDI),原油运输指数(BDTI),成品油运输指数(BCTI),中国进口干散货运价指数:综合指数,中国进口原油运价指数:综合指数,远东干散货指数(FDI):综合指数,远东干散货指数(FDI):运价指数,中国:水泥价格指数,南华工业品指数,南华综合指数,南华金属指数,南华能化指数,义乌中国小商品指数:场内价格指数,义乌中国小商品指数:场内价格指数,义乌中国小商品指数:网上价格指数,义乌中国小商品指数:订单价格指数,义乌中国小商品指数:玩具类:价格指数,义乌中国小商品指数:玩具类:出口价格指数,义乌中国小商品指数:文化办公用品类:价格指数,义乌中国小商品指数:文化办公用品类:出口价格指数,义乌中国小商品指数:工艺品类:价格指数,义乌中国小商品指数:工艺品类:出口价格指数,义乌中国小商品指数:首饰类:价格指数,义乌中国小商品指数:首饰类:出口价格指数,义乌中国小商品指数:五金及电料类:价格指数,义乌中国小商品指数:五金及电料类:出口价格指数,义乌中国小商品指数:电子电器类:价格指数,义乌中国小商品指数:电子电器类:出口价格指数,义乌中国小商品指数:钟表眼镜类:价格指数,义乌中国小商品指数:钟表眼镜类:出口价格指数,义乌中国小商品指数:体育娱乐用品类:价格指数,义乌中国小商品指数:体育娱乐用品类:出口价格指数,义乌中国小商品指数:服装服饰类:价格指数,义乌中国小商品指数:服装服饰类:出口价格指数,义乌中国小商品指数:鞋类:价格指数,义乌中国小商品指数:鞋类:出口价格指数,义乌中国小商品指数:针、纺织品类:出口价格指数,义乌中国小商品指数:箱包类:价格指数,义乌中国小商品指数:箱包类:出口价格指数,义乌中国小商品指数:护理及美容用品类:价格指数,义乌中国小商品指数:护理及美容用品类:出口价格指数,义乌中国小商品指数:日用品类:价格指数,义乌中国小商品指数:日用品类:出口价格指数,义乌中国小商品指数:辅料和包装类:价格指数,义乌中国小商品指数:辅料和包装类:出口价格指数,义乌中国小商品指数:总价格指数,义乌中国小商品指数:出口价格指数,中国:开工率:产能(<100万吨):焦化企业(230家),中国:开工率:产能(100-200万吨):焦化企业(230家),中国:开工率:产能(>200万吨):焦化企业(230家),中国:开工率:聚氯乙烯:上游,中国:华北:开工率:聚氯乙烯:下游,中国:华南:开工率:聚氯乙烯:下游,中国:开工率:聚氯乙烯,中国:华东:开工率:聚氯乙烯:下游,中国:开工率:螺纹钢:主要钢厂,中国:开工率:线材:主要钢厂,中国:开工率:电炉,中国:开工率:产能(100-200万吨):焦化企业(230家),中国:开工率:产能(>200万吨):焦化企业(230家),中国出口集装箱运价指数:综合指数,中国:开工率:汽车轮胎(半钢胎),中国:开工率:汽车轮胎(全钢胎),中国:开工率:乙二醇(非乙烯法),中国:开工率:甲醇,中国:开工率:苯乙烯,中国:开工率:纯碱,中国:开工率:聚苯乙烯,中国:开工率:聚苯乙烯泡沫,中国:开工率:石油沥青装置,中国:开工率:尿素,中国进口集装箱运价指数:综合指数,,
2001M1,,,,,,,,,,8.2774 ,7.7941 ,,16.8577 ,0.9385 ,,,,,2.4725 ,,,"2,071.0689 ",,,,5.6798 ,,1.4766 ,110.1280 ,103.2968 ,0.3398 ,1.0467 ,,4.6716 ,5.9567 ,"1,272.9564 ",591.6739 ,,,125.0785 ,,13.7157 ,,,4.7927 ,4.4700 ,5.2130 ,,,,,,47.3454 ,39.2507 ,53.5813 ,,,,,25.7270 ,28.8910 ,,,,,,,,,,,,"1,565.7333 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M2,,,,,,,,,,8.2770 ,7.6236 ,,16.1507 ,0.9218 ,,,,,2.5174 ,,,"1,963.5156 ",,,,5.3520 ,,1.4527 ,111.7593 ,104.5343 ,0.2411 ,0.9704 ,,4.6680 ,5.4271 ,"1,252.3679 ",593.5968 ,,,129.0678 ,,12.1335 ,,,4.8443 ,4.5200 ,5.1839 ,,,,,,56.3363 ,45.9586 ,65.7816 ,,,,,27.1586 ,29.6664 ,,,,,,,,,,,,"1,478.9643 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M3,,,,,,,,,,8.2775 ,7.5376 ,,21.5308 ,0.9086 ,,,,,2.4930 ,,,"2,036.1266 ",,,,4.9626 ,,1.4437 ,113.9106 ,100.9605 ,0.0697 ,0.7827 ,,4.5761 ,5.8228 ,"1,290.6032 ",545.2763 ,,,126.7958 ,,10.9901 ,,,4.8468 ,4.3925 ,4.9847 ,,,,,,61.7215 ,57.4492 ,65.8046 ,,,,,25.6284 ,27.3405 ,,,,,,,,,,,,"1,501.6882 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M4,,,,,,,,,,8.2771 ,7.3954 ,,23.7472 ,0.8928 ,,,,,2.4205 ,,,"2,134.4202 ",,,,4.6225 ,,1.4350 ,115.4940 ,100.2494 ,0.0337 ,0.7932 ,,4.5755 ,6.5904 ,"1,327.0683 ",530.0836 ,,,126.6170 ,,11.1398 ,,,4.8727 ,4.4381 ,5.1878 ,,,,,,49.0270 ,47.1248 ,50.6954 ,,,,,26.6223 ,27.7124 ,,,,,,,,,,,,"1,439.9889 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M5,,,,,,,,,,8.2772 ,7.2568 ,,21.7742 ,0.8749 ,,,,,2.2457 ,,,"2,172.4091 ",,,,4.1006 ,,1.4270 ,116.7555 ,102.0590 ,0.0105 ,0.6658 ,,4.5612 ,6.4682 ,"1,297.5210 ",600.2577 ,,,126.8089 ,,11.0062 ,,,4.7176 ,4.4781 ,5.4632 ,,,,,,59.9515 ,56.5644 ,60.6486 ,,,,,28.5616 ,28.8045 ,,,,,,,,,,,,"1,448.2097 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M6,,,,,,,,,,8.2770 ,7.0649 ,,22.3554 ,0.8532 ,,,,,2.3524 ,,,"2,213.5466 ",,,,3.8377 ,,1.4028 ,118.9576 ,102.3686 ,0.0114 ,0.6024 ,,4.3551 ,6.0517 ,"1,294.1022 ",604.2169 ,,,123.2787 ,,9.6871 ,,,4.5772 ,4.2794 ,5.3573 ,,,,,,70.9417 ,62.6028 ,78.8565 ,,,,,27.4131 ,27.6763 ,,,,,,,,,,,,"1,377.5667 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M7,,,,,,,,,,8.2769 ,7.1204 ,,24.5399 ,0.8609 ,,,,,2.3014 ,,,"2,137.8778 ",,,,3.7503 ,,1.4149 ,118.4769 ,100.5827 ,0.0161 ,0.6422 ,,4.3879 ,5.7518 ,"1,303.0866 ",553.2214 ,,,123.2227 ,,10.6659 ,,,4.5582 ,4.2718 ,5.4300 ,,,,,,59.9848 ,53.3462 ,62.8773 ,,,,,25.3134 ,26.5403 ,,,,,,,,,,,,"1,220.2903 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M8,,,,,,,,,,8.2769 ,7.4561 ,,21.3665 ,0.9019 ,,,,,2.2975 ,,,"1,910.6832 ",,,,3.5662 ,,1.4367 ,114.4203 ,101.5926 ,0.0190 ,0.6523 ,,4.2275 ,5.1481 ,"1,284.7855 ",568.3484 ,,,122.1572 ,,11.7819 ,,,4.5213 ,4.0713 ,5.1271 ,,,,,,64.1356 ,73.3187 ,56.8826 ,,,,,25.7990 ,27.0248 ,,,,,,,,,,,,980.0323 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M9,,,,,,,,,,8.2768 ,7.5527 ,,18.6757 ,0.9123 ,,,,,2.2625 ,,,"1,813.4685 ",,,,3.0377 ,,1.4639 ,113.3150 ,103.9020 ,0.0058 ,0.6790 ,,3.8755 ,4.8817 ,"1,295.2300 ",504.7957 ,,,123.8213 ,,11.9443 ,,,4.0720 ,3.7063 ,4.6863 ,,,,,,472.4911 ,791.8360 ,249.4176 ,,,,,26.0893 ,26.2193 ,,,,,,,,,,,,943.8333 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M10,,,,,,,,,,8.2768 ,7.4922 ,,21.3661 ,0.9055 ,,,,,2.1908 ,,,"1,677.6734 ",,,,2.3961 ,,1.4509 ,114.1916 ,102.2029 ,0.0090 ,0.7029 ,,3.4572 ,4.7029 ,"1,302.5452 ",519.7403 ,,,127.0794 ,,12.2804 ,,,3.7435 ,3.3145 ,4.4684 ,,,,,,504.0542 ,840.6996 ,257.8193 ,,,,,21.5268 ,22.5010 ,,,,,,,,,,,,897.2903 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M11,,,,,,,,,,8.2769 ,7.3537 ,,22.3537 ,0.8882 ,,,,,2.1388 ,,,"1,673.5861 ",,,,2.1091 ,,1.4359 ,115.9870 ,101.6883 ,0.0137 ,0.7230 ,,3.2657 ,5.3403 ,"1,282.4100 ",604.6243 ,,,129.8815 ,,11.6822 ,,,3.4513 ,3.1543 ,4.3983 ,,,,,,296.1777 ,494.2140 ,141.4245 ,,,,,19.2690 ,19.8137 ,,,,,,,,,,,,854.8000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001M12,,,,,,,,,,8.2769 ,7.3804 ,,27.6690 ,0.8910 ,,,,,2.1396 ,,,"1,686.1295 ",,,,1.9260 ,,1.4418 ,116.2955 ,97.3887 ,0.0225 ,0.8292 ,,3.2553 ,5.9190 ,"1,293.0065 ",667.7210 ,,,132.1189 ,,10.3806 ,,,3.3323 ,3.2848 ,4.6706 ,,,,,,231.2225 ,376.6929 ,121.4562 ,,,,,19.2652 ,19.5877 ,,,,,,,,,,,,870.6774 ,848.6000 ,690.6800 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002M1,,,,,,,,,,8.2767 ,7.3193 ,,32.5716 ,0.8833 ,,,,,2.1367 ,,,"1,488.8295 ",,,1.6513 ,1.8233 ,,1.4326 ,117.6873 ,94.1461 ,0.0059 ,0.8923 ,,3.3400 ,6.0813 ,"1,316.7081 ",739.6508 ,,,133.7275 ,,8.9054 ,,,3.3448 ,3.4529 ,4.5803 ,,,,,,169.9862 ,259.1657 ,104.0567 ,,,,,19.7871 ,19.2355 ,,,,,,,,"2,350.0000 ",,,,930.3871 ,801.2903 ,687.3097 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.2933 ,,,,,,,,,,,,,
2002M2,,,,,,,,,,8.2767 ,7.1885 ,,33.4379 ,0.8706 ,,,,,2.0870 ,,,"1,563.7471 ",,,1.6939 ,1.9036 ,,1.4233 ,118.9404 ,93.8643 ,0.0022 ,0.9921 ,,3.3975 ,5.9264 ,"1,319.3071 ",771.6011 ,,,133.5828 ,,7.6640 ,,,3.3357 ,3.5650 ,4.6171 ,,,,,,143.4186 ,209.3824 ,93.0801 ,,,,,20.3575 ,20.8314 ,,,,,,,,"2,377.9545 ",,,,957.2143 ,716.0714 ,680.1786 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927.5663 ,,,,,,,,,,,,,
2002M3,,,,,,,,,,8.2771 ,7.2522 ,,31.1890 ,0.8760 ,,,,,1.9553 ,,,"1,623.3944 ",,,1.9358 ,1.9912 ,,1.4234 ,118.0026 ,95.1519 ,0.0023 ,0.9706 ,,3.5068 ,6.1043 ,"1,278.8467 ",835.2213 ,,,131.1618 ,,6.8607 ,,,3.3690 ,3.7810 ,5.1077 ,,,,,,150.2726 ,217.8308 ,97.6862 ,,,,,24.4052 ,24.6390 ,,,,,,,,"2,539.6774 ",,,,"1,065.5742 ",694.5806 ,683.2774 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931.9720 ,,,,,,,,,,,,,
2002M4,,,,,,,,,,8.2772 ,7.3181 ,,30.6373 ,0.8866 ,,,,,1.9508 ,,,"1,638.6679 ",,,1.8280 ,1.9668 ,,1.4431 ,116.8480 ,95.1157 ,0.0027 ,0.8247 ,,3.5363 ,6.4687 ,"1,317.5933 ",894.0783 ,,,131.0916 ,,5.2836 ,,,3.3700 ,3.7967 ,5.0813 ,,,,,,154.1352 ,219.2820 ,99.5971 ,,,,,25.7563 ,26.2517 ,,,,,,,,"2,685.0000 ",,,,"1,077.0733 ",740.8333 ,732.7800 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.7350 ,,,,,,,,,,,,,
