指标名称,中国:GDP:不变价:当季同比,中国:iCPI:总指数:日环比,中国:iCPI:食品烟酒:日环比,中国:iCPI:衣着:日环比,中国:iCPI:居住:日环比,中国:iCPI:生活用品及服务:日环比,中国:iCPI:交通和通信:日环比,中国:iCPI:教育文化和娱乐:日环比,中国:iCPI:医疗保健:日环比,中国:iCPI:其他用品和服务:日环比,中国:中间价:美元兑人民币,中间价:欧元兑人民币,USDCNH:即期汇率,美元兑日元,欧元兑美元,温州指数:温州地区民间融资综合利率,温州指数:温州地区民间融资综合利率:社会直接融资利率,中国:SHIBOR:隔夜,银行间同业拆借加权利率:7天,银行间质押式回购加权利率:7天,GC001:收盘价,1年期国债收益率,上证综合指数,中国:互联网搜索指数:找工作,中国:互联网搜索指数:招聘,中国香港:政府债券收益率:3月,LIBOR:美元:3个月,美国:5年期盈亏平衡通胀率:非季调,英镑兑美元,美元指数,日元指数,日本:国债收益率:6月,日本:企业债有效收益率:综合,欧元区:公债收益率:即期利率收益率曲线:所有债券:6个月,EURIBOR:6个月,韩国:国债收益率:3年,收盘价:美元兑韩元,韩国:KOSPI指数,印尼:日用商品现价:天然棕榈油:棉兰,印尼:日用商品现价:咖啡:棉兰,泰国:债券市场协会指数:总收益:政府债券指数,新加坡:国库券收益率:6个月,菲律宾:国债收益率:6个月,越南:国债收益率:1年,印度:国债收益率:3月,法国:国债收益率:1个月,德国:上市联邦证券利率期限结构:1年期,加拿大:基准债券收益率:5年,花旗美国经济意外指数,花旗欧洲经济意外指数,花旗中国经济意外指数,花旗十国集团经济意外指数,花旗新兴市场经济意外指数,地缘政治风险指数,地缘政治行为指数,地缘政治威胁指数,收盘价:焦炭,期货收盘价(活跃合约):焦煤,"河南:车板价:焦煤(A≤10%,V:25-27%,S≤0.5%,G>75,Mt:8%,平顶山产)","中国:现货价(到岸价):焦煤(峰景矿,A:10.5%,V:21.5%,S:0.61%,G:87,Y:19,Mt:10%,CSR74,澳大利亚产)",期货结算价(活跃合约):IPE布油,期货结算价(活跃合约):NYMEX轻质原油,出厂价:液化气(汽运):荆门石化,中国:出厂价:石油焦(2#B):武汉石化,中国:经销价:汽油(93#IV):成都中石化,山东:库提价:港口内贸燃料油(4#船用),运价:液化气(压力货):华南-海防港,黎城:价格(干基含税):铁精粉(66%),"中国:价格:螺纹钢(HRB400,20mm)","武汉:价格:热轧板卷(Q235B,3.0mm)",山东:价格:方坯(Q235),唐山:市场价(不含税):废钢(6-8mm),中国进口干散货运价指数:综合指数,波罗的海干散货指数(BDI),原油运输指数(BDTI),成品油运输指数(BCTI),中国进口干散货运价指数:综合指数,中国进口原油运价指数:综合指数,远东干散货指数(FDI):综合指数,远东干散货指数(FDI):运价指数,中国:水泥价格指数,南华工业品指数,南华综合指数,南华金属指数,南华能化指数,义乌中国小商品指数:场内价格指数,义乌中国小商品指数:场内价格指数,义乌中国小商品指数:网上价格指数,义乌中国小商品指数:订单价格指数,义乌中国小商品指数:玩具类:价格指数,义乌中国小商品指数:玩具类:出口价格指数,义乌中国小商品指数:文化办公用品类:价格指数,义乌中国小商品指数:文化办公用品类:出口价格指数,义乌中国小商品指数:工艺品类:价格指数,义乌中国小商品指数:工艺品类:出口价格指数,义乌中国小商品指数:首饰类:价格指数,义乌中国小商品指数:首饰类:出口价格指数,义乌中国小商品指数:五金及电料类:价格指数,义乌中国小商品指数:五金及电料类:出口价格指数,义乌中国小商品指数:电子电器类:价格指数,义乌中国小商品指数:电子电器类:出口价格指数,义乌中国小商品指数:钟表眼镜类:价格指数,义乌中国小商品指数:钟表眼镜类:出口价格指数,义乌中国小商品指数:体育娱乐用品类:价格指数,义乌中国小商品指数:体育娱乐用品类:出口价格指数,义乌中国小商品指数:服装服饰类:价格指数,义乌中国小商品指数:服装服饰类:出口价格指数,义乌中国小商品指数:鞋类:价格指数,义乌中国小商品指数:鞋类:出口价格指数,义乌中国小商品指数:针、纺织品类:出口价格指数,义乌中国小商品指数:箱包类:价格指数,义乌中国小商品指数:箱包类:出口价格指数,义乌中国小商品指数:护理及美容用品类:价格指数,义乌中国小商品指数:护理及美容用品类:出口价格指数,义乌中国小商品指数:日用品类:价格指数,义乌中国小商品指数:日用品类:出口价格指数,义乌中国小商品指数:辅料和包装类:价格指数,义乌中国小商品指数:辅料和包装类:出口价格指数,义乌中国小商品指数:总价格指数,义乌中国小商品指数:出口价格指数,中国:开工率:产能(<100万吨):焦化企业(230家),中国:开工率:产能(100-200万吨):焦化企业(230家),中国:开工率:产能(>200万吨):焦化企业(230家),中国:开工率:聚氯乙烯:上游,中国:华北:开工率:聚氯乙烯:下游,中国:华南:开工率:聚氯乙烯:下游,中国:开工率:聚氯乙烯,中国:华东:开工率:聚氯乙烯:下游,中国:开工率:螺纹钢:主要钢厂,中国:开工率:线材:主要钢厂,中国:开工率:电炉,中国:开工率:产能(100-200万吨):焦化企业(230家),中国:开工率:产能(>200万吨):焦化企业(230家),中国出口集装箱运价指数:综合指数,中国:开工率:汽车轮胎(半钢胎),中国:开工率:汽车轮胎(全钢胎),中国:开工率:乙二醇(非乙烯法),中国:开工率:甲醇,中国:开工率:苯乙烯,中国:开工率:纯碱,中国:开工率:聚苯乙烯,中国:开工率:聚苯乙烯泡沫,中国:开工率:石油沥青装置,中国:开工率:尿素,中国进口集装箱运价指数:综合指数
2001Q1,9.50 ,,,,,,,,,,8.2773 ,7.6518 ,,18.1797 ,0.9230 ,,,,,2.4943 ,,,"2,023.5704 ",,,,5.3315 ,,1.4577 ,111.9326 ,102.9305 ,0.2168 ,0.9332 ,,4.6386 ,5.7355 ,"1,271.9758 ",576.8490 ,,,126.9807 ,,12.2798 ,,,4.8279 ,4.4608 ,5.1272 ,,,,,,55.1344 ,47.5528 ,61.7225 ,,,,,26.1713 ,28.6327 ,,,,,,,,,,,,"1,515.4619 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001Q2,8.60 ,,,,,,,,,,8.2771 ,7.2390 ,,22.6256 ,0.8736 ,,,,,2.3395 ,,,"2,173.4586 ",,,,4.1869 ,,1.4216 ,117.0690 ,101.5590 ,0.0185 ,0.6872 ,,4.4973 ,6.3701 ,"1,306.2305 ",578.1861 ,,,125.5682 ,,10.6110 ,,,4.7225 ,4.3985 ,5.3361 ,,,,,,59.9734 ,55.4307 ,63.4001 ,,,,,27.5324 ,28.0644 ,,,,,,,,,,,,"1,421.9217 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001Q3,8.00 ,,,,,,,,,,8.2769 ,7.3764 ,,21.5273 ,0.8917 ,,,,,2.2872 ,,,"1,954.0098 ",,,,3.4514 ,,1.4385 ,115.4041 ,102.0258 ,0.0136 ,0.6578 ,,4.1636 ,5.2605 ,"1,294.3673 ",542.1218 ,,,123.0671 ,,11.4640 ,,,4.3838 ,4.0165 ,5.0811 ,,,,,,198.8705 ,306.1670 ,123.0592 ,,,,,25.7339 ,26.5948 ,,,,,,,,,,,,"1,048.0520 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001Q4,7.50 ,,,,,,,,,,8.2769 ,7.4087 ,,23.7963 ,0.8949 ,,,,,2.1564 ,,,"1,679.1297 ",,,,2.1437 ,,1.4428 ,115.4914 ,100.4266 ,0.0150 ,0.7517 ,,3.3261 ,5.3208 ,"1,292.6539 ",597.3619 ,,,129.6933 ,,11.4478 ,,,3.5090 ,3.2512 ,4.5124 ,,,,,,343.8182 ,570.5355 ,173.5667 ,,,,,20.0203 ,20.6341 ,,,,,,,,,,,,874.2559 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002Q1,8.90 ,,,,,,,,,,8.2768 ,7.2533 ,,32.3995 ,0.8766 ,,,,,2.0597 ,,,"1,558.6570 ",,,1.7603 ,1.9061 ,,1.4264 ,118.2101 ,94.3875 ,0.0034 ,0.9517 ,,3.4148 ,6.0374 ,"1,304.9540 ",782.1577 ,,,132.8240 ,,7.8100 ,,,3.3499 ,3.5996 ,4.7684 ,,,,,,154.5591 ,228.7930 ,98.2744 ,,,,,21.5166 ,21.5687 ,,,,,,,,"2,422.5440 ",,,,984.3919 ,737.3141 ,683.5886 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.2772 ,,,,,,,,,,,
2002Q2,8.80 ,,,,,,,,,,8.2771 ,7.5836 ,,26.6475 ,0.9205 ,,,,,1.9509 ,,,"1,600.4998 ",,,1.7048 ,1.9167 ,,1.4627 ,113.2591 ,96.9252 ,0.0052 ,0.7911 ,,3.5826 ,6.2349 ,"1,267.7382 ",841.4971 ,,,132.4211 ,,5.7712 ,,,3.3957 ,3.8286 ,4.9547 ,,,,,,153.6994 ,203.3572 ,121.7956 ,,,,,25.4028 ,26.2016 ,,,,,,,,"2,835.8961 ",,,,"1,036.6859 ",761.8625 ,732.4534 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935.2898 ,,,,,,,,,,,
2002Q3,9.60 ,,,,,,,,,,8.2768 ,8.1448 ,,19.3386 ,0.9833 ,,,,,2.0259 ,,,"1,657.0662 ",,,1.5431 ,1.8095 ,,1.5494 ,106.8739 ,100.0318 ,0.0100 ,0.7228 ,,3.3766 ,5.4762 ,"1,197.8699 ",722.6037 ,,,138.5973 ,,6.4173 ,,,3.3633 ,3.3592 ,4.3130 ,,,,,,138.8773 ,168.2078 ,120.6229 ,,,,,26.7540 ,28.2066 ,,,,,,,,"2,973.8065 ",,,,"1,059.2208 ",693.5306 ,730.4172 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958.1125 ,,,,,,,,,,,
2002Q4,9.10 ,,,,,,,,,,8.2771 ,8.2648 ,,22.3595 ,1.0014 ,,,,,2.2576 ,,,"1,467.5364 ",,,1.5006 ,1.5506 ,,1.5721 ,105.7864 ,98.7073 ,0.0098 ,0.6346 ,,3.0303 ,5.3193 ,"1,219.7883 ",672.4842 ,,,145.0669 ,,6.6491 ,,,3.0515 ,2.9175 ,4.2184 ,,,,,,166.4664 ,181.8543 ,165.5841 ,,,,,26.3732 ,27.8874 ,,,,,,,,"3,151.0036 ",,,,"1,502.4198 ","1,151.3224 ",823.6572 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978.3652 ,,,,,,,,,,,
2003Q1,11.10 ,,,,,,,,,,8.1667 ,8.8776 ,,18.9679 ,1.0732 ,,,,,2.1933 ,,,"1,469.3315 ",,,1.2114 ,1.3334 ,1.5665 ,1.6025 ,100.1828 ,99.7357 ,,0.5402 ,,2.6000 ,4.8261 ,"1,202.0732 ",591.5937 ,"3,948.0844 ","11,234.9381 ",149.5476 ,,7.4267 ,,,2.7216 ,2.4557 ,4.2400 ,-32.2912 ,31.3425 ,,1.5185 ,11.0086 ,263.5683 ,266.8578 ,296.1189 ,,,,,30.3974 ,33.6722 ,,,,,,,,"3,690.2131 ",,,,"1,738.4858 ","1,740.0381 ","1,173.5367 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.6708 ,,,,,,,,,,,
2003Q2,9.10 ,,,,,,,,,,8.2770 ,9.3832 ,,18.5563 ,1.1368 ,,,,,2.0481 ,,,"1,543.7055 ",,,1.0775 ,1.2210 ,1.4234 ,1.6184 ,95.7983 ,98.3059 ,0.0104 ,0.3917 ,,2.2911 ,4.3193 ,"1,208.3293 ",620.5903 ,"3,574.4950 ","10,714.1817 ",152.1611 ,,8.1083 ,,,2.3621 ,2.1529 ,3.8729 ,-43.4241 ,-20.0576 ,,-21.2556 ,18.2469 ,186.0870 ,229.0929 ,163.0205 ,,,,,25.4254 ,28.3126 ,,,,,,,,"3,404.0753 ",,,,"2,143.8583 ","1,254.7847 ","1,051.7817 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,013.7558 ",,,,,,,,,,,
