date,GDP不变价:当季同比,中国:社会消费品零售总额:当月同比,中国:CPI:当月同比,中国:PPI:全部工业品:当月同比,中国:工业增加值:规模以上工业企业:当月同比,中国:出口金额:当月同比,中国:进口金额:当月同比,固定资产投资完成额:累计同比,房地产开发投资完成额:累计同比,固定资产投资完成额:制造业:累计同比,固定资产投资完成额:基础设施建设:累计同比,中国:M2:同比,中国:社会融资规模:当月值
2001-01-01,9.53,12.5,1.2,1.43,2.3,0.1,1.9,,,,,15.16,
2001-02-01,11.52,8.6,0.0,0.9,19.0,28.4,35.8,16.7,23.0,,,15.2,
2001-03-01,8.66,9.5,0.8,0.2,12.1,14.3,16.5,15.1,22.9,,,14.83,
2001-04-01,10.84,9.7,1.6,-0.1,11.5,11.1,19.1,16.5,22.8,,,13.94,
2001-05-01,8.11,11.1,1.7,-0.2,10.2,3.5,10.9,17.6,26.5,,,14.48,
2001-06-01,9.84,10.0,1.4,-0.6,10.1,-0.6,4.8,17.9,28.2,,,14.3,
2001-07-01,10.78,9.8,1.5,-1.3,8.1,6.2,7.5,18.4,31.6,,,13.5,
2001-08-01,11.01,9.6,1.0,-2.0,8.1,0.9,6.7,18.9,32.1,,,13.6,
2001-09-01,11.74,9.9,-0.1,-2.9,9.5,4.4,5.5,18.2,31.4,,,13.6,
2001-10-01,12.13,10.5,0.2,-3.1,8.8,0.1,-0.2,17.4,31.2,,,12.9,
2001-11-01,9.39,10.1,-0.3,-3.7,7.9,8.4,-3.7,16.3,29.7,,,13.2,
2001-12-01,10.33,9.6,-0.3,-4.0,8.7,11.5,4.6,13.7,25.3,,,14.4,
2002-01-01,9.78,7.9,-1.0,-4.2,18.6,29.2,21.9,19.1,27.75,,,13.1,-472.0
2002-02-01,8.35,9.1,0.0,-4.2,2.7,1.8,-12.7,24.5,30.2,,,13.0,289.0
2002-03-01,10.16,8.3,-0.8,-4.0,10.9,3.4,8.5,26.1,36.2,,,14.4,3136.0
2002-04-01,10.28,8.2,-1.3,-3.06,12.1,17.2,17.8,27.1,38.8,,,14.1,1151.0
2002-05-01,10.06,9.3,-1.1,-2.63,12.9,18.4,19.3,25.8,36.7,,,14.0,1774.0
2002-06-01,10.99,8.6,-0.8,-2.5,12.4,17.8,8.6,24.4,32.9,,,14.7,2621.0
2002-07-01,11.53,8.6,-0.9,-2.3,12.8,28.1,28.9,24.1,30.7,,,14.4,813.0
2002-08-01,9.67,8.8,-0.7,-1.7,12.7,25.0,23.0,24.2,30.0,,,15.5,1585.0
2002-09-01,11.05,9.1,-0.7,-1.4,13.8,33.1,36.4,24.3,29.4,,,16.5,3507.0
2002-10-01,10.83,9.4,-0.8,-1.0,14.2,31.5,33.4,24.1,29.8,,,17.0,795.0
2002-11-01,12.16,9.1,-0.7,-0.4,14.5,30.0,37.9,23.4,28.2,,,16.6,1805.0
2002-12-01,9.81,9.2,-0.4,0.4,14.9,30.2,28.4,17.4,21.9,,,16.78,3109.0
2003-01-01,9.87,10.0,0.4,2.4,14.8,37.3,63.4,25.1,29.45,,,19.3,3386.0
2003-02-01,8.77,8.5,0.2,4.0,19.8,27.8,49.4,32.8,37.0,,,18.1,998.0
2003-03-01,10.66,9.3,0.9,4.6,16.9,34.7,45.1,31.6,34.94,,,18.54,4041.0
2003-04-01,10.0,7.7,1.0,3.6,14.9,33.3,34.4,30.5,33.54,,,19.2,2622.0
2003-05-01,9.55,4.3,0.7,2.0,13.7,37.3,40.9,31.7,32.87,,,20.2,2971.0
2003-06-01,10.86,8.3,0.3,1.3,16.9,32.6,40.1,32.8,33.98,,,20.83,5842.0
2003-07-01,11.06,9.8,0.5,1.4,16.5,30.6,35.3,32.7,34.1,,,20.7,1344.0
2003-08-01,9.64,9.9,0.9,1.4,17.1,27.2,27.3,32.4,33.11,,,21.55,3321.0
2003-09-01,9.53,9.5,1.1,1.4,16.3,31.3,39.9,31.4,32.84,,,20.67,4040.0
2003-10-01,9.0,10.2,1.8,1.2,17.2,36.7,39.7,30.2,31.26,,,20.97,1218.0
2003-11-01,9.38,9.7,3.0,1.9,17.9,33.8,28.5,29.6,32.46,,,20.37,1832.0
2003-12-01,8.65,10.9,3.2,3.0,18.1,50.7,47.4,28.4,29.72,,,19.6,2498.0
2004-01-01,9.47,11.8,3.2,3.5,7.2,19.8,15.2,40.7,39.96,,,18.1,2114.0
2004-02-01,10.06,9.2,2.1,3.5,23.2,39.5,77.0,53.0,50.2,98.2,40.85,19.4,438.0
2004-03-01,10.31,11.1,3.0,4.0,19.4,42.9,42.8,47.8,41.1,75.8,42.92,19.1,6557.0
2004-04-01,12.06,13.2,3.8,5.0,19.1,32.4,42.9,42.8,34.6,65.1,41.95,19.1,2731.0
2004-05-01,11.61,17.8,4.4,5.7,17.5,32.8,35.4,34.8,32.0,51.3,34.61,17.5,2443.0
2004-06-01,7.95,13.9,5.0,6.4,16.2,46.5,50.5,31.0,28.7,42.0,33.43,16.2,3229.0
2004-07-01,9.87,13.2,5.3,6.4,15.5,33.9,34.2,31.1,28.6,41.9,33.25,15.3,590.0
2004-08-01,8.65,13.1,5.3,6.8,15.9,37.5,35.6,30.3,28.8,40.7,31.14,13.63,1501.0
2004-09-01,10.59,14.0,5.2,7.9,16.1,33.1,22.1,29.9,28.3,41.7,28.46,13.94,2981.0
2004-10-01,9.97,14.2,4.3,8.4,15.7,28.5,29.3,29.5,28.9,40.4,28.21,13.45,483.0
2004-11-01,8.8,13.9,2.8,8.1,14.8,45.9,38.5,28.9,29.2,39.2,27.51,14.0,1977.0
2004-12-01,10.01,14.5,2.4,7.1,14.4,32.7,24.6,27.6,28.1,36.3,24.86,14.6,3586.0
2005-01-01,10.62,11.5,1.9,5.8,20.9,42.1,23.9,26.05,27.55,28.05,29.74,14.13,3620.0
2005-02-01,9.17,15.8,3.9,5.38,7.6,30.0,-5.0,24.5,27.0,19.8,34.62,13.9,824.0
2005-03-01,9.83,13.9,2.7,5.6,15.1,32.8,18.6,25.3,26.7,25.6,30.53,14.0,4189.0
2005-04-01,10.23,12.2,1.8,5.78,16.0,31.9,16.2,25.7,25.9,28.8,27.68,14.1,1999.0
2005-05-01,10.86,12.8,1.8,5.9,16.6,30.3,15.0,26.4,24.3,31.7,25.01,14.6,1968.0
2005-06-01,9.92,12.9,1.6,5.2,16.8,30.6,15.1,27.1,23.5,35.1,26.17,15.67,4723.0
2005-07-01,11.06,12.7,1.8,5.2,16.1,28.7,12.4,27.2,23.5,35.1,26.48,16.3,629.0
2005-08-01,10.24,12.5,1.3,5.3,16.0,33.2,23.5,27.4,22.3,35.7,27.34,17.34,2097.0
2005-09-01,10.43,12.7,0.9,4.5,16.5,25.9,23.5,27.7,22.2,36.1,28.34,17.92,6041.0
2005-10-01,10.81,12.8,1.2,4.0,16.1,29.7,23.4,27.6,21.6,37.1,27.67,17.99,-974.0
