date,quarter,gdp_value,is_predicted,confidence_interval
2001-06-30,2001Q2,8.6,False,
2001-09-30,2001Q3,8.0,False,
2001-12-31,2001Q4,7.5,False,
2002-03-31,2002Q1,8.9,False,
2002-06-30,2002Q2,8.8,False,
2002-09-30,2002Q3,9.6,False,
2002-12-31,2002Q4,9.1,False,
2003-03-31,2003Q1,11.1,False,
2003-06-30,2003Q2,9.1,False,
2003-09-30,2003Q3,10.0,False,
2003-12-31,2003Q4,10.0,False,
2004-03-31,2004Q1,10.6,False,
2004-06-30,2004Q2,11.6,False,
2004-09-30,2004Q3,9.8,False,
2004-12-31,2004Q4,8.8,False,
2005-03-31,2005Q1,11.1,False,
2005-06-30,2005Q2,11.1,False,
2005-09-30,2005Q3,10.8,False,
2005-12-31,2005Q4,12.4,False,
2006-03-31,2006Q1,12.5,False,
2006-06-30,2006Q2,13.7,False,
2006-09-30,2006Q3,12.2,False,
2006-12-31,2006Q4,12.5,False,
2007-03-31,2007Q1,13.8,False,
2007-06-30,2007Q2,15.0,False,
2007-09-30,2007Q3,14.3,False,
2007-12-31,2007Q4,13.9,False,
2008-03-31,2008Q1,11.5,False,
2008-06-30,2008Q2,10.9,False,
2008-09-30,2008Q3,9.5,False,
2008-12-31,2008Q4,7.1,False,
2009-03-31,2009Q1,6.4,False,
2009-06-30,2009Q2,8.2,False,
2009-09-30,2009Q3,10.6,False,
2009-12-31,2009Q4,11.9,False,
2010-03-31,2010Q1,12.2,False,
2010-06-30,2010Q2,10.8,False,
2010-09-30,2010Q3,9.9,False,
2010-12-31,2010Q4,9.9,False,
2011-03-31,2011Q1,10.2,False,
2011-06-30,2011Q2,10.0,False,
2011-09-30,2011Q3,9.4,False,
2011-12-31,2011Q4,8.8,False,
2012-03-31,2012Q1,8.1,False,
2012-06-30,2012Q2,7.7,False,
2012-09-30,2012Q3,7.5,False,
2012-12-31,2012Q4,8.1,False,
2013-03-31,2013Q1,7.9,False,
2013-06-30,2013Q2,7.6,False,
2013-09-30,2013Q3,7.9,False,
2013-12-31,2013Q4,7.7,False,
2014-03-31,2014Q1,7.5,False,
2014-06-30,2014Q2,7.6,False,
2014-09-30,2014Q3,7.2,False,
2014-12-31,2014Q4,7.3,False,
2015-03-31,2015Q1,7.1,False,
2015-06-30,2015Q2,7.1,False,
2015-09-30,2015Q3,7.0,False,
2015-12-31,2015Q4,6.9,False,
2016-03-31,2016Q1,6.9,False,
2016-06-30,2016Q2,6.8,False,
2016-09-30,2016Q3,6.8,False,
2016-12-31,2016Q4,6.9,False,
2017-03-31,2017Q1,7.0,False,
2017-06-30,2017Q2,7.0,False,
2017-09-30,2017Q3,6.9,False,
2017-12-31,2017Q4,6.8,False,
2018-03-31,2018Q1,6.9,False,
2018-06-30,2018Q2,6.9,False,
2018-09-30,2018Q3,6.7,False,
2018-12-31,2018Q4,6.5,False,
2019-03-31,2019Q1,6.3,False,
2019-06-30,2019Q2,6.0,False,
2019-09-30,2019Q3,5.9,False,
2019-12-31,2019Q4,5.8,False,
2020-03-31,2020Q1,-6.9,False,
2020-06-30,2020Q2,3.1,False,
2020-09-30,2020Q3,4.8,False,
2020-12-31,2020Q4,6.4,False,
2021-03-31,2021Q1,18.7,False,
2021-06-30,2021Q2,8.3,False,
2021-09-30,2021Q3,5.2,False,
2021-12-31,2021Q4,4.3,False,
2022-03-31,2022Q1,4.8,False,
2022-06-30,2022Q2,0.4,False,
2022-09-30,2022Q3,3.9,False,
2022-12-31,2022Q4,2.9,False,
2023-03-31,2023Q1,4.5,False,
2023-06-30,2023Q2,6.3,False,
2023-09-30,2023Q3,4.9,False,
2023-12-31,2023Q4,5.2,False,
2024-03-31,2024Q1,5.3,False,
2024-06-30,2024Q2,4.7,False,
2024-09-30,2024Q3,4.6,False,
2024-12-31,2024Q4,5.4,False,
2025-03-31,2025Q1,5.4,False,
2025-06-30,2025Q2,5.2075635,True,"[5.1515469400000005, 5.2858006]"
2025-09-30,2025Q3,5.492128,True,"[5.45440383, 5.52985217]"
2025-12-31,2025Q4,5.512863,True,"[5.465371370000001, 5.56035463]"
