timestamp,1年期国债收益率,EURIBOR:6个月,GC001:收盘价,LIBOR:美元:3个月,USDCNH:即期汇率,上证综合指数,中国:SHIBOR:隔夜,中国:iCPI:交通和通信:日环比,中国:iCPI:其他用品和服务:日环比,中国:iCPI:医疗保健:日环比,中国:iCPI:居住:日环比,中国:iCPI:教育文化和娱乐:日环比,中国:iCPI:生活用品及服务:日环比,中国:iCPI:衣着:日环比,中国:iCPI:食品烟酒:日环比,中国:中间价:美元兑人民币,中国:互联网搜索指数:找工作,中国:互联网搜索指数:招聘,"中国:价格:螺纹钢(HRB400,20mm)",中国:出厂价:石油焦(2#B):武汉石化,中国:华东:开工率:聚氯乙烯:下游,中国:华北:开工率:聚氯乙烯:下游,中国:华南:开工率:聚氯乙烯:下游,中国:开工率:乙二醇(非乙烯法),中国:开工率:产能(<100万吨):焦化企业(230家),中国:开工率:尿素,中国:开工率:汽车轮胎(全钢胎),中国:开工率:汽车轮胎(半钢胎),中国:开工率:甲醇,中国:开工率:电炉,中国:开工率:石油沥青装置,中国:开工率:纯碱,中国:开工率:线材:主要钢厂,中国:开工率:聚氯乙烯,中国:开工率:聚氯乙烯:上游,中国:开工率:聚苯乙烯,中国:开工率:聚苯乙烯泡沫,中国:开工率:苯乙烯,中国:开工率:螺纹钢:主要钢厂,中国:水泥价格指数,"中国:现货价(到岸价):焦煤(峰景矿,A:10.5%,V:21.5%,S:0.61%,G:87,Y:19,Mt:10%,CSR74,澳大利亚产)",中国:经销价:汽油(93#IV):成都中石化,中国出口集装箱运价指数:综合指数,中国进口原油运价指数:综合指数,中国进口集装箱运价指数:综合指数,中国香港:政府债券收益率:3月,中间价:欧元兑人民币,义乌中国小商品指数:五金及电料类:价格指数,义乌中国小商品指数:五金及电料类:出口价格指数,义乌中国小商品指数:体育娱乐用品类:价格指数,义乌中国小商品指数:体育娱乐用品类:出口价格指数,义乌中国小商品指数:出口价格指数,义乌中国小商品指数:工艺品类:价格指数,义乌中国小商品指数:工艺品类:出口价格指数,义乌中国小商品指数:总价格指数,义乌中国小商品指数:护理及美容用品类:价格指数,义乌中国小商品指数:护理及美容用品类:出口价格指数,义乌中国小商品指数:文化办公用品类:价格指数,义乌中国小商品指数:文化办公用品类:出口价格指数,义乌中国小商品指数:日用品类:价格指数,义乌中国小商品指数:日用品类:出口价格指数,义乌中国小商品指数:服装服饰类:价格指数,义乌中国小商品指数:服装服饰类:出口价格指数,义乌中国小商品指数:玩具类:价格指数,义乌中国小商品指数:玩具类:出口价格指数,义乌中国小商品指数:电子电器类:价格指数,义乌中国小商品指数:电子电器类:出口价格指数,义乌中国小商品指数:箱包类:价格指数,义乌中国小商品指数:箱包类:出口价格指数,义乌中国小商品指数:网上价格指数,义乌中国小商品指数:订单价格指数,义乌中国小商品指数:辅料和包装类:价格指数,义乌中国小商品指数:辅料和包装类:出口价格指数,义乌中国小商品指数:针、纺织品类:出口价格指数,义乌中国小商品指数:钟表眼镜类:价格指数,义乌中国小商品指数:钟表眼镜类:出口价格指数,义乌中国小商品指数:鞋类:价格指数,义乌中国小商品指数:鞋类:出口价格指数,义乌中国小商品指数:首饰类:价格指数,义乌中国小商品指数:首饰类:出口价格指数,出厂价:液化气(汽运):荆门石化,加拿大:基准债券收益率:5年,南华工业品指数,南华综合指数,南华能化指数,南华金属指数,印尼:日用商品现价:咖啡:棉兰,印尼:日用商品现价:天然棕榈油:棉兰,印度:国债收益率:3月,原油运输指数(BDTI),唐山:市场价(不含税):废钢(6-8mm),地缘政治威胁指数,地缘政治行为指数,地缘政治风险指数,山东:价格:方坯(Q235),山东:库提价:港口内贸燃料油(4#船用),德国:上市联邦证券利率期限结构:1年期,成品油运输指数(BCTI),收盘价:焦炭,收盘价:美元兑韩元,新加坡:国库券收益率:6个月,日元指数,日本:企业债有效收益率:综合,期货收盘价(活跃合约):焦煤,期货结算价(活跃合约):IPE布油,期货结算价(活跃合约):NYMEX轻质原油,欧元兑美元,欧元区:公债收益率:即期利率收益率曲线:所有债券:6个月,"武汉:价格:热轧板卷(Q235B,3.0mm)","河南:车板价:焦煤(A≤10%,V:25-27%,S≤0.5%,G>75,Mt:8%,平顶山产)",法国:国债收益率:1个月,波罗的海干散货指数(BDI),泰国:债券市场协会指数:总收益:政府债券指数,温州指数:温州地区民间融资综合利率,温州指数:温州地区民间融资综合利率:社会直接融资利率,美元兑日元,美元指数,美国:5年期盈亏平衡通胀率:非季调,花旗中国经济意外指数,花旗十国集团经济意外指数,花旗新兴市场经济意外指数,花旗欧洲经济意外指数,花旗美国经济意外指数,英镑兑美元,菲律宾:国债收益率:6个月,越南:国债收益率:1年,运价:液化气(压力货):华南-海防港,远东干散货指数(FDI):综合指数,远东干散货指数(FDI):运价指数,银行间同业拆借加权利率:7天,银行间质押式回购加权利率:7天,韩国:KOSPI指数,韩国:国债收益率:3年,黎城:价格(干基含税):铁精粉(66%)
2001-01-01,,4.6716,,5.6798 ,,"2,071.0689 ",,,,,,,,,,8.2774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.213,,,,,,,,,,53.5813,39.2507,47.3454,,,4.47,,,"1,272.9564 ",,103.2968,1.0467 ,,25.727,28.891,0.9385,,,,4.7927,"1,565.7333 ",125.0785,,,16.8577,110.128,,,,,,,1.4766,13.7157,,,,,,2.4725,591.6739 ,5.9567,
2001-02-01,,4.668,,5.3520 ,,"1,963.5156 ",,,,,,,,,,8.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1839,,,,,,,,,,65.7816,45.9586,56.3363,,,4.52,,,"1,252.3679 ",,104.5343,0.9704 ,,27.1586,29.6664,0.9218,,,,4.8443,"1,478.9643 ",129.0678,,,16.1507,111.7593,,,,,,,1.4527,12.1335,,,,,,2.5174,593.5968 ,5.4271,
2001-03-01,,4.5761,,4.9626 ,,"2,036.1266 ",,,,,,,,,,8.2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9847,,,,,,,,,,65.8046,57.4492,61.7215,,,4.3925,,,"1,290.6032 ",,100.9605,0.7827 ,,25.6284,27.3405,0.9086,,,,4.8468,"1,501.6882 ",126.7958,,,21.5308,113.9106,,,,,,,1.4437,10.9901,,,,,,2.493,545.2763 ,5.8228,
2001-04-01,,4.5755,,4.6225 ,,"2,134.4202 ",,,,,,,,,,8.2771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1878,,,,,,,,,,50.6954,47.1248,49.027,,,4.4381,,,"1,327.0683 ",,100.2494,0.7932 ,,26.6223,27.7124,0.8928,,,,4.8727,"1,439.9889 ",126.617,,,23.7472,115.494,,,,,,,1.435,11.1398,,,,,,2.4205,530.0836 ,6.5904,
2001-05-01,,4.5612,,4.1006 ,,"2,172.4091 ",,,,,,,,,,8.2772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4632,,,,,,,,,,60.6486,56.5644,59.9515,,,4.4781,,,"1,297.5210 ",,102.059,0.6658 ,,28.5616,28.8045,0.8749,,,,4.7176,"1,448.2097 ",126.8089,,,21.7742,116.7555,,,,,,,1.427,11.0062,,,,,,2.2457,600.2577 ,6.4682,
2001-06-01,,4.3551,,3.8377 ,,"2,213.5466 ",,,,,,,,,,8.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3573,,,,,,,,,,78.8565,62.6028,70.9417,,,4.2794,,,"1,294.1022 ",,102.3686,0.6024 ,,27.4131,27.6763,0.8532,,,,4.5772,"1,377.5667 ",123.2787,,,22.3554,118.9576,,,,,,,1.4028,9.6871,,,,,,2.3524,604.2169 ,6.0517,
2001-07-01,,4.3879,,3.7503 ,,"2,137.8778 ",,,,,,,,,,8.2769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43,,,,,,,,,,62.8773,53.3462,59.9848,,,4.2718,,,"1,303.0866 ",,100.5827,0.6422 ,,25.3134,26.5403,0.8609,,,,4.5582,"1,220.2903 ",123.2227,,,24.5399,118.4769,,,,,,,1.4149,10.6659,,,,,,2.3014,553.2214 ,5.7518,
2001-08-01,,4.2275,,3.5662 ,,"1,910.6832 ",,,,,,,,,,8.2769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1271,,,,,,,,,,56.8826,73.3187,64.1356,,,4.0713,,,"1,284.7855 ",,101.5926,0.6523 ,,25.799,27.0248,0.9019,,,,4.5213,980.0323 ,122.1572,,,21.3665,114.4203,,,,,,,1.4367,11.7819,,,,,,2.2975,568.3484 ,5.1481,
2001-09-01,,3.8755,,3.0377 ,,"1,813.4685 ",,,,,,,,,,8.2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6863,,,,,,,,,,249.4176,791.836,472.4911,,,3.7063,,,"1,295.2300 ",,103.902,0.6790 ,,26.0893,26.2193,0.9123,,,,4.072,943.8333 ,123.8213,,,18.6757,113.315,,,,,,,1.4639,11.9443,,,,,,2.2625,504.7957 ,4.8817,
2001-10-01,,3.4572,,2.3961 ,,"1,677.6734 ",,,,,,,,,,8.2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4684,,,,,,,,,,257.8193,840.6996,504.0542,,,3.3145,,,"1,302.5452 ",,102.2029,0.7029 ,,21.5268,22.501,0.9055,,,,3.7435,897.2903 ,127.0794,,,21.3661,114.1916,,,,,,,1.4509,12.2804,,,,,,2.1908,519.7403 ,4.7029,
