指标名称,1年期国债收益率,EURIBOR:6个月,GC001:收盘价,LIBOR:美元:3个月,USDCNH:即期汇率,上证综合指数,中国:CPI:当月同比,中国:M2:同比,中国:PPI:全部工业品:当月同比,中国:SHIBOR:隔夜,中国:iCPI:交通和通信:日环比,中国:iCPI:其他用品和服务:日环比,中国:iCPI:医疗保健:日环比,中国:iCPI:居住:日环比,中国:iCPI:总指数:日环比,中国:iCPI:教育文化和娱乐:日环比,中国:iCPI:生活用品及服务:日环比,中国:iCPI:衣着:日环比,中国:iCPI:食品烟酒:日环比,中国:中间价:美元兑人民币,中国:互联网搜索指数:找工作,中国:互联网搜索指数:招聘,"中国:价格:螺纹钢(HRB400,20mm)",中国:出厂价:石油焦(2#B):武汉石化,中国:出口金额:当月同比,中国:华东:开工率:聚氯乙烯:下游,中国:华北:开工率:聚氯乙烯:下游,中国:华南:开工率:聚氯乙烯:下游,中国:工业增加值:规模以上工业企业:当月同比,中国:开工率:乙二醇(非乙烯法),中国:开工率:产能(100-200万吨):焦化企业(230家),中国:开工率:产能(100-200万吨):焦化企业(230家).1,中国:开工率:产能(<100万吨):焦化企业(230家),中国:开工率:产能(>200万吨):焦化企业(230家),中国:开工率:产能(>200万吨):焦化企业(230家).1,中国:开工率:尿素,中国:开工率:汽车轮胎(全钢胎),中国:开工率:汽车轮胎(半钢胎),中国:开工率:甲醇,中国:开工率:电炉,中国:开工率:石油沥青装置,中国:开工率:纯碱,中国:开工率:线材:主要钢厂,中国:开工率:聚氯乙烯,中国:开工率:聚氯乙烯:上游,中国:开工率:聚苯乙烯,中国:开工率:聚苯乙烯泡沫,中国:开工率:苯乙烯,中国:开工率:螺纹钢:主要钢厂,中国:水泥价格指数,"中国:现货价(到岸价):焦煤(峰景矿,A:10.5%,V:21.5%,S:0.61%,G:87,Y:19,Mt:10%,CSR74,澳大利亚产)",中国:社会消费品零售总额:当月同比,中国:社会融资规模:当月值,中国:经销价:汽油(93#IV):成都中石化,中国:进口金额:当月同比,中国出口集装箱运价指数:综合指数,中国进口原油运价指数:综合指数,中国进口干散货运价指数:综合指数,中国进口干散货运价指数:综合指数.1,中国进口集装箱运价指数:综合指数,中国香港:政府债券收益率:3月,中间价:欧元兑人民币,义乌中国小商品指数:五金及电料类:价格指数,义乌中国小商品指数:五金及电料类:出口价格指数,义乌中国小商品指数:体育娱乐用品类:价格指数,义乌中国小商品指数:体育娱乐用品类:出口价格指数,义乌中国小商品指数:出口价格指数,义乌中国小商品指数:场内价格指数,义乌中国小商品指数:场内价格指数.1,义乌中国小商品指数:工艺品类:价格指数,义乌中国小商品指数:工艺品类:出口价格指数,义乌中国小商品指数:总价格指数,义乌中国小商品指数:护理及美容用品类:价格指数,义乌中国小商品指数:护理及美容用品类:出口价格指数,义乌中国小商品指数:文化办公用品类:价格指数,义乌中国小商品指数:文化办公用品类:出口价格指数,义乌中国小商品指数:日用品类:价格指数,义乌中国小商品指数:日用品类:出口价格指数,义乌中国小商品指数:服装服饰类:价格指数,义乌中国小商品指数:服装服饰类:出口价格指数,义乌中国小商品指数:玩具类:价格指数,义乌中国小商品指数:玩具类:出口价格指数,义乌中国小商品指数:电子电器类:价格指数,义乌中国小商品指数:电子电器类:出口价格指数,义乌中国小商品指数:箱包类:价格指数,义乌中国小商品指数:箱包类:出口价格指数,义乌中国小商品指数:网上价格指数,义乌中国小商品指数:订单价格指数,义乌中国小商品指数:辅料和包装类:价格指数,义乌中国小商品指数:辅料和包装类:出口价格指数,义乌中国小商品指数:针、纺织品类:出口价格指数,义乌中国小商品指数:钟表眼镜类:价格指数,义乌中国小商品指数:钟表眼镜类:出口价格指数,义乌中国小商品指数:鞋类:价格指数,义乌中国小商品指数:鞋类:出口价格指数,义乌中国小商品指数:首饰类:价格指数,义乌中国小商品指数:首饰类:出口价格指数,出厂价:液化气(汽运):荆门石化,加拿大:基准债券收益率:5年,南华工业品指数,南华综合指数,南华能化指数,南华金属指数,印尼:日用商品现价:咖啡:棉兰,印尼:日用商品现价:天然棕榈油:棉兰,印度:国债收益率:3月,原油运输指数(BDTI),唐山:市场价(不含税):废钢(6-8mm),固定资产投资完成额:制造业:累计同比,固定资产投资完成额:基础设施建设:累计同比,固定资产投资完成额:累计同比,地缘政治威胁指数,地缘政治行为指数,地缘政治风险指数,山东:价格:方坯(Q235),山东:库提价:港口内贸燃料油(4#船用),德国:上市联邦证券利率期限结构:1年期,成品油运输指数(BCTI),房地产开发投资完成额:累计同比,收盘价:焦炭,收盘价:美元兑韩元,新加坡:国库券收益率:6个月,日元指数,日本:企业债有效收益率:综合,日本:国债收益率:6月,期货收盘价(活跃合约):焦煤,期货结算价(活跃合约):IPE布油,期货结算价(活跃合约):NYMEX轻质原油,欧元兑美元,欧元区:公债收益率:即期利率收益率曲线:所有债券:6个月,"武汉:价格:热轧板卷(Q235B,3.0mm)","河南:车板价:焦煤(A≤10%,V:25-27%,S≤0.5%,G>75,Mt:8%,平顶山产)",法国:国债收益率:1个月,波罗的海干散货指数(BDI),泰国:债券市场协会指数:总收益:政府债券指数,温州指数:温州地区民间融资综合利率,温州指数:温州地区民间融资综合利率:社会直接融资利率,美元兑日元,美元指数,美国:5年期盈亏平衡通胀率:非季调,花旗中国经济意外指数,花旗十国集团经济意外指数,花旗新兴市场经济意外指数,花旗欧洲经济意外指数,花旗美国经济意外指数,英镑兑美元,菲律宾:国债收益率:6个月,越南:国债收益率:1年,运价:液化气(压力货):华南-海防港,远东干散货指数(FDI):综合指数,远东干散货指数(FDI):运价指数,银行间同业拆借加权利率:7天,银行间质押式回购加权利率:7天,韩国:KOSPI指数,韩国:国债收益率:3年,黎城:价格(干基含税):铁精粉(66%)
2001-01-01,,,,,,,1.2,15.16,1.43,,,,,,,,,,,,,,,,0.1,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,12.5,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,,4.668,,5.352,,,0.0,15.2,0.9,,,,,,,,,,,8.277,,,,,28.4,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,8.6,,,35.8,,,,,,,7.6236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1839,,,,,,,,,,,,16.7,65.7816,45.9586,56.3363,,,4.52,,23.0,,,,104.5343,0.9704,0.2411,,27.1586,29.6664,0.9218,,,,4.8443,,129.0678,,,16.1507,111.7593,,,,,,,1.4527,12.1335,,,,,,2.5174,593.5968,5.4271,
2001-03-01,,4.5761,,4.9626,,,0.8,14.83,0.2,,,,,,,,,,,8.2775,,,,,14.3,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,9.5,,,16.5,,,,,,,7.5376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9847,,,,,,,,,,,,15.1,65.8046,57.4492,61.7215,,,4.3925,,22.9,,,,100.9605,0.7827,0.0697,,25.6284,27.3405,0.9086,,,,4.8468,,126.7958,,,21.5308,113.9106,,,,,,,1.4437,10.9901,,,,,,2.493,545.2763,5.8228,
2001-04-01,,4.5755,,4.6225,,,1.6,13.94,-0.1,,,,,,,,,,,8.2771,,,,,11.1,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,9.7,,,19.1,,,,,,,7.3954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1878,,,,,,,,,,,,16.5,50.6954,47.1248,49.027,,,4.4381,,22.8,,,,100.2494,0.7932,0.0337,,26.6223,27.7124,0.8928,,,,4.8727,,126.617,,,23.7472,115.494,,,,,,,1.435,11.1398,,,,,,2.4205,530.0836,6.5904,
2001-05-01,,4.5612,,4.1006,,,1.7,14.48,-0.2,,,,,,,,,,,8.2772,,,,,3.5,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,11.1,,,10.9,,,,,,,7.2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4632,,,,,,,,,,,,17.6,60.6486,56.5644,59.9515,,,4.4781,,26.5,,,,102.059,0.6658,0.0105,,28.5616,28.8045,0.8749,,,,4.7176,,126.8089,,,21.7742,116.7555,,,,,,,1.427,11.0062,,,,,,2.2457,600.2577,6.4682,
2001-06-01,,4.3551,,3.8377,,,1.4,14.3,-0.6,,,,,,,,,,,8.277,,,,,-0.6,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,10.0,,,4.8,,,,,,,7.0649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3573,,,,,,,,,,,,17.9,78.8565,62.6028,70.9417,,,4.2794,,28.2,,,,102.3686,0.6024,0.0114,,27.4131,27.6763,0.8532,,,,4.5772,,123.2787,,,22.3554,118.9576,,,,,,,1.4028,9.6871,,,,,,2.3524,604.2169,6.0517,
2001-07-01,,4.3879,,3.7503,,,1.5,13.5,-1.3,,,,,,,,,,,8.2769,,,,,6.2,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,9.8,,,7.5,,,,,,,7.1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43,,,,,,,,,,,,18.4,62.8773,53.3462,59.9848,,,4.2718,,31.6,,,,100.5827,0.6422,0.0161,,25.3134,26.5403,0.8609,,,,4.5582,,123.2227,,,24.5399,118.4769,,,,,,,1.4149,10.6659,,,,,,2.3014,553.2214,5.7518,
2001-08-01,,4.2275,,3.5662,,,1.0,13.6,-2.0,,,,,,,,,,,8.2769,,,,,0.9,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,9.6,,,6.7,,,,,,,7.4561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1271,,,,,,,,,,,,18.9,56.8826,73.3187,64.1356,,,4.0713,,32.1,,,,101.5926,0.6523,0.019,,25.799,27.0248,0.9019,,,,4.5213,980.0323,122.1572,,,21.3665,114.4203,,,,,,,1.4367,11.7819,,,,,,2.2975,568.3484,5.1481,
2001-09-01,,3.8755,,3.0377,,,-0.1,13.6,-2.9,,,,,,,,,,,8.2768,,,,,4.4,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,9.9,,,5.5,,,,,,,7.5527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6863,,,,,,,,,,,,18.2,249.4176,791.836,472.4911,,,3.7063,,31.4,,,,103.902,0.679,0.0058,,26.0893,26.2193,0.9123,,,,4.072,943.8333,123.8213,,,18.6757,113.315,,,,,,,1.4639,11.9443,,,,,,2.2625,504.7957,4.8817,
2001-10-01,,3.4572,,2.3961,,,0.2,12.9,-3.1,,,,,,,,,,,8.2768,,,,,0.1,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,10.5,,,-0.2,,,,,,,7.4922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4684,,,,,,,,,,,,17.4,257.8193,840.6996,504.0542,,,3.3145,,31.2,,,,102.2029,0.7029,0.009,,21.5268,22.501,0.9055,,,,3.7435,897.2903,127.0794,,,21.3661,114.1916,,,,,,,1.4509,12.2804,,,,,,2.1908,519.7403,4.7029,
