指标名称,中国:社会消费品零售总额:当月同比,中国:CPI:当月同比,中国:PPI:全部工业品:当月同比,中国:固定资产投资完成额:累计同比
2001M1,8.6000,0.80,0.20,15.10
2001M2,9.5000,1.60,-0.10,16.50
2001M3,9.7000,1.70,-0.20,17.60
2001M4,11.1000,1.40,-0.60,17.90
2001M5,10.0000,1.50,-1.30,18.40
2001M6,9.8000,1.00,-2.00,18.90
2001M7,9.6000,-0.10,-2.90,18.20
2001M8,9.9000,0.20,-3.10,17.40
2001M9,10.5000,-0.30,-3.70,16.30
2001M10,10.1000,-0.30,-4.00,13.70
2001M11,9.6000,-1.00,-4.20,19.10
2001M12,7.9000,0.00,-4.20,24.50
2002M1,9.1000,-0.80,-4.00,26.10
2002M2,8.3000,-1.30,-3.06,27.10
2002M3,8.2000,-1.10,-2.63,25.80
2002M4,9.3000,-0.80,-2.50,24.40
2002M5,8.6000,-0.90,-2.30,24.10
2002M6,8.6000,-0.70,-1.70,24.20
2002M7,8.8000,-0.70,-1.40,24.30
2002M8,9.1000,-0.80,-1.00,24.10
2002M9,9.4000,-0.70,-0.40,23.40
2002M10,9.1000,-0.40,0.40,17.40
2002M11,9.2000,0.40,2.40,25.10
2002M12,10.0000,0.20,4.00,32.80
2003M1,8.5000,0.90,4.60,31.60
2003M2,9.3000,1.00,3.60,30.50
2003M3,7.7000,0.70,2.00,31.70
2003M4,4.3000,0.30,1.30,32.80
2003M5,8.3000,0.50,1.40,32.70
2003M6,9.8000,0.90,1.40,32.40
2003M7,9.9000,1.10,1.40,31.40
2003M8,9.5000,1.80,1.20,30.20
2003M9,10.2000,3.00,1.90,29.60
2003M10,9.7000,3.20,3.00,28.40
2003M11,10.9000,3.20,3.50,40.70
2003M12,11.8000,2.10,3.50,53.00
2004M1,9.2000,3.00,4.00,47.80
2004M2,11.1000,3.80,5.00,42.80
2004M3,13.2000,4.40,5.70,34.80
2004M4,17.8000,5.00,6.40,31.00
2004M5,13.9000,5.30,6.40,31.10
2004M6,13.2000,5.30,6.80,30.30
2004M7,13.1000,5.20,7.90,29.90
2004M8,14.0000,4.30,8.40,29.50
2004M9,14.2000,2.80,8.10,28.90
2004M10,13.9000,2.40,7.10,27.60
2004M11,14.5000,1.90,5.80,26.05
2004M12,11.5000,3.90,5.38,24.50
2005M1,15.8000,2.70,5.60,25.30
2005M2,13.9000,1.80,5.78,25.70
2005M3,12.2000,1.80,5.90,26.40
2005M4,12.8000,1.60,5.20,27.10
2005M5,12.9000,1.80,5.20,27.20
2005M6,12.7000,1.30,5.30,27.40
2005M7,12.5000,0.90,4.50,27.70
2005M8,12.7000,1.20,4.00,27.60
2005M9,12.8000,1.30,3.20,27.80
2005M10,12.4000,1.60,3.20,27.20
2005M11,12.5000,1.90,3.05,26.90
2005M12,15.5000,0.90,3.01,26.60
2006M1,9.4000,0.80,2.49,29.80
2006M2,13.5000,1.20,1.87,29.60
2006M3,13.6000,1.40,2.43,30.30
2006M4,14.2000,1.50,3.52,31.30
2006M5,13.9000,1.00,3.58,30.50
2006M6,13.7000,1.30,3.40,29.10
2006M7,13.8000,1.50,3.50,28.20
2006M8,13.9000,1.40,2.90,26.80
2006M9,14.3000,1.90,2.78,26.60
2006M10,14.1000,2.80,3.10,24.30
2006M11,14.6000,2.20,3.30,23.85
2006M12,12.7000,2.70,2.60,23.40
2007M1,16.9000,3.30,2.70,25.30
2007M2,15.3000,3.00,2.90,25.50
2007M3,15.5000,3.40,2.80,25.90
2007M4,15.9000,4.40,2.49,26.70
2007M5,16.0000,5.60,2.40,26.60
2007M6,16.4000,6.50,2.60,26.70
2007M7,17.1000,6.20,2.70,26.40
2007M8,17.0000,6.50,3.20,26.90
2007M9,18.1000,6.90,4.55,26.80
2007M10,18.8000,6.50,5.43,25.80
2007M11,20.2000,7.10,6.10,25.05
2007M12,21.2000,8.70,6.62,24.30
2008M1,19.1000,8.30,7.95,25.90
2008M2,21.5000,8.50,8.12,25.70
2008M3,22.0000,7.70,8.22,25.60
2008M4,21.6000,7.10,8.84,26.80
2008M5,23.0000,6.30,10.03,27.30
2008M6,23.3000,4.90,10.06,27.40
2008M7,23.2000,4.60,9.13,27.60
